,tweet_text,pos_rev,neg_rev,neutral_or_unknown,apple_product
0,".@wesley83 I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.",0,1,0,1
1,"@jessedee Know about @fludapp ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW",1,0,0,1
2,@swonderlin Can not wait for #iPad 2 also. They should sale them down at #SXSW.,1,0,0,1
3,@sxsw I hope this year's festival isn't as crashy as this year's iPhone app. #sxsw,0,1,0,1
4,Beautifully smart and simple idea RT @madebymany @thenextweb wrote about our #hollergram iPad app for #sxsw! http://bit.ly/ieaVOB,1,0,0,1
5,Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,1,0,0,1
6,Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,1,0,0,1
7,"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw",1,0,0,1
8,I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone,0,1,0,1
9,"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",1,0,0,1
10,Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,1,0,0,1
11,Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,1,0,0,1
12,"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",1,0,0,1
13,"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",1,0,0,1
14,"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",1,0,0,1
15,"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",1,0,0,1
16,The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,1,0,0,1
17,Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),1,0,0,1
18,You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,1,0,0,1
19,The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,1,0,0,1
20,@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,1,0,0,1
21,#IPad2 's Û÷#SmartCoverÛª Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,1,0,0,1
22,HOORAY RT ÛÏ@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},1,0,0,1
23,wooooo!!! ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ,1,0,0,1
24,{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,1,0,0,1
25,#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,1,0,0,1
26,"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",0,0,1,1
27,attending @mention iPad design headaches #sxsw {link},0,1,0,1
28,Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},1,0,0,1
29,I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,1,0,0,1
30,New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,1,0,0,1
31,Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,1,0,0,1
32,"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",1,0,0,1
33,Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,1,0,0,1
34,What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,0,1,0,1
35,"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",1,0,0,1
36,Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},1,0,0,1
37,Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,1,0,0,1
38,"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",1,0,0,1
